Cars,Price,Mileage
2014 Infiniti Q50 4dr Sdn Premium AWD,"$15,995","Mileage 129,000 km"
2016 Volkswagen Jetta 4dr 1.8 TSI Auto Highline,"$15,995","Mileage 113,000 km"
2016 Audi A3 4dr Sdn quattro 2.0T Komfort,"$15,995","Mileage 89,000 km"
2017 Hyundai Elantra 4dr Sdn Auto Limited *Ltd Avail*,"$15,900","Mileage 72,000 km"
2015 Acura ILX 4dr Sdn Premium Pkg,"$15,900","Mileage 58,280 km"
2016 Mazda Mazda3 4dr Sdn Auto GS,"$15,900","Mileage 38,000 km"
2016 Cadillac ATS 4dr Sdn 2.0L Performance Collection AWD,"$15,888","Mileage 71,000 km"
2012 Audi S4 4dr Sdn S tronic Premium,"$15,800","Mileage 176,000 km"
2013 Honda Accord Sedan 4dr I4 Auto Touring,"$15,723","Mileage 135,000 km"
2015 Volkswagen Jetta 4dr 2.0 TDI DSG Highline,"$15,700","Mileage 74,000 km"
2015 Honda Civic Sedan 4dr Auto EX,"$15,600","Mileage 59,500 km"
2017 Honda Accord Sedan 4dr I4 CVT Touring,"$15,600","Mileage 56,000 km"
