Cars,Price,Mileage
2018 Honda Civic Sedan Touring CVT,"$28,100","Mileage 39,000 km"
2017 Audi A4 4dr Sdn Auto Komfort quattro,"$28,000","Mileage 33,500 km"
2015 BMW 3 Series 4dr Sdn 335i xDrive AWD,"$27,999","Mileage 84,000 km"
2016 Lexus IS 300 4dr Sdn AWD,"$27,500","Mileage 57,500 km"
2017 Nissan Maxima 4dr Sdn SL,"$27,350","Mileage 42,000 km"
2017 Acura TLX 4dr Sdn SH-AWD V6 Elite,"$27,000","Mileage 46,000 km"
2016 Subaru WRX 4dr Sdn Man w/Sport Pkg,"$27,000","Mileage 40,000 km"
2018 Dodge Charger GT AWD,"$27,000","Mileage 70,000 km"
2016 Lexus ES 350 4dr Sdn,"$27,000","Mileage 40,500 km"
2018 Dodge Charger GT AWD,"$27,000","Mileage 65,000 km"
2016 Jaguar XF 4dr Sdn S,"$26,995","Mileage 94,211 km"
2017 Acura TLX 4dr Sdn SH-AWD V6 Tech,"$26,800","Mileage 17,900 km"
2018 Buick Regal 4dr Sdn Preferred II FWD,"$26,699","Mileage 24,000 km"
2015 Audi S4 4dr Sdn Auto Technik plus,"$26,500","Mileage 88,400 km"
2015 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,"$26,463","Mileage 67,101 km"
2017 Nissan Maxima 4dr Sdn SR,"$26,000","Mileage 58,204 km"
2019 Kia Optima LX+ Auto,"$26,000","Mileage 7,500 km"
2019 Dodge Charger SXT RWD,"$26,000","Mileage 44,868 km"
2016 Lincoln MKS 4dr Sdn 3.7L AWD,"$26,000","Mileage 80,000 km"
2016 Lexus IS 300 4dr Sdn AWD,"$26,000","Mileage 58,000 km"
2018 Subaru WRX Manual,"$26,000","Mileage 35,000 km"
2017 Acura TLX 4dr Sdn SH-AWD V6 Elite,"$26,000","Mileage 60,000 km"
2017 Infiniti Q50 4dr Sdn 2.0t,"$25,999","Mileage 59,000 km"
2017 Honda Accord Sedan 4dr I4 CVT LX,"$25,999","Mileage 8,500 km"
2016 Lexus ES 350 4dr Sdn,"$25,999","Mileage 74,800 km"
2015 Dodge Challenger 2dr Cpe SXT Plus,"$25,926","Mileage 46,000 km"
2017 Acura TLX 4dr Sdn SH-AWD V6 Tech,"$25,800","Mileage 17,900 km"
2018 Honda Accord Sedan Sport CVT,"$25,500","Mileage 44,000 km"
2019 Toyota Corolla SE CVT,"$25,000","Mileage 36,000 km"
2015 Dodge Charger 4dr Sdn SXT RWD,"$25,000","Mileage 96,000 km"
2012 BMW 5 Series 4dr Sdn 535i xDrive AWD,"$25,000","Mileage 151,000 km"
2014 Jaguar XF 4dr Sdn V6 AWD,"$24,999","Mileage 65,000 km"
2016 Audi A3 4dr Sdn quattro 2.0T Komfort,"$24,997","Mileage 66,531 km"
2015 Infiniti Q50 4dr Sdn Sport AWD,"$24,950","Mileage 29,700 km"
2019 Volkswagen Jetta Highline Auto,"$24,500","Mileage 21,000 km"
2014 Audi A6 4dr Sdn quattro 3.0L TDI Technik,"$24,500","Mileage 156,000 km"
2019 Volkswagen Jetta Highline Auto,"$24,500","Mileage 21,500 km"
2016 Lexus ES 300h 4dr Sdn,"$24,400","Mileage 139,968 km"
2016 Lexus ES 350 4dr Sdn,"$27,000","Mileage 40,500 km"
2015 Hyundai Sonata 4dr Sdn 2.4L Auto Limited,"$14,900","Mileage 89,000 km"
2015 Chevrolet Cruze 4dr Sdn LTZ,"$13,500","Mileage 22,400 km"
2015 Mazda Mazda6 4dr Sdn 2.5L Auto GS,"$12,500","Mileage 105,600 km"
2010 Chrysler 300 4dr Sdn Limited AWD,"$10,500","Mileage 89,500 km"
2013 Hyundai Sonata 4dr Sdn 2.4L Auto Limited w/Navi,"$8,500","Mileage 165,000 km"
2014 Kia Optima Hybrid 4dr Sdn EX Premium,"$7,950","Mileage 152,000 km"
2008 Mazda Mazda3 2008 4dr Sdn Man GT -Ltd Avail-,"$2,200","Mileage 269,000 km"
2013 BMW 5 Series 4dr Sdn 550i xDrive AWD,"$24,000","Mileage 97,000 km"
2015 BMW 5 Series 4dr Sdn 528i xDrive AWD,"$24,000","Mileage 83,000 km"
2011 Audi S4 4dr Sdn S tronic Premium,"$24,000","Mileage 128,000 km"
2016 BMW 3 Series 4dr Sdn 328i xDrive AWD,"$23,999","Mileage 71,999 km"
