points,title,description,taster_name,taster_twitter_handle,taster_photo,price,designation,variety,region_1,region_2,province,country,winery
88,Calcaneus 2017 Ginestra Bianco  (Etna),"Subtle scents of Spanish broom and yellow stone fruit slowly take shape. On the palate, fresh acidity lifts mature yellow apple and lemon zest, while a salty note marks the close. ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,24,Ginestra Bianco,White Blend,Etna,,Sicily & Sardinia,Italy,Calcaneus
88,Casca Wines 2013 Monte Cascas Altitude Sparkling (Távora-Varosa),"This lightly spicy and definitely perfumed wine comes from high-altitude vines planted in an area just south of the Douro and known for its sparkling wines. It is so crisp, bright and fruity with delicious acidity and a fine sweep of freshness at the end. Drink now. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,30,Monte Cascas Altitude,Portuguese Sparkling,,,Távora-Varosa,Portugal,Casca Wines
88,Ceste 2015  Barbaresco,"Aromas of baking spice, tilled soil and ripe dark-skinned fruit lead the nose. The taut palate offers sour cherry, clove and tobacco alongside chewy tannins that grip the finish. Drink after 2022. ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,,,Nebbiolo,Barbaresco,,Piedmont,Italy,Ceste
88,Chateau Lafayette Reneau 2016 Semi-Dry Riesling (Finger Lakes),"Steely lime, fresh apple and white flower aromas start off this semidry offering. A juicy orchard fruit flavor starts off the palate, with astringent green pear rind and lime coming in midway. The finish is brisk and clean. ",Alexander Peartree,@apatrone23,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Alex_Peartree_300x450.jpg,15,Semi-Dry,Riesling,Finger Lakes,Finger Lakes,New York,US,Chateau Lafayette Reneau
88,Château Moncontour 2017 Sec  (Vouvray),"Lightly honeyed and with white fruits, almonds and a touch of minerality, this wine is already delicious. Its freshness and crisp texture are both young and the wine will age. Drink at its best from 2020. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,18,Sec,Chenin Blanc,Vouvray,,Loire Valley,France,Château Moncontour
88,Château Tanunda 2015 100 Year Old Vines Shiraz (Barossa),"Notes of plush berry fruit, vanilla and cherry cola are followed by a palate that feels a little hot from the alcohol and is almost syrupy in texture, with grainy tannins and prominent oak throughout. Drink 2020–2030. ",Christina Pickard,@ckpickard,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Christina_Pickard_300x450.jpg,150,100 Year Old Vines,Shiraz,Barossa,,South Australia,Australia,Château Tanunda
88,Collier Creek 2017 Crafty Fox Merlot (Lodi),"Red cherry aromas and a creamy texture highlight this medium-bodied, well-priced and certified sustainable wine. It has good concentration to keep your interest and very smooth tannins for easy drinking. ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,10,Crafty Fox,Merlot,Lodi,Central Valley,California,US,Collier Creek
88,D. Massin NV Cuvée de Réserve Brut  (Champagne),"A blend of 75% Pinot Noir and 25% Chardonnay, this is a rich wine. Ripe apple flavors are up front, with gentle acidity to balance. The wine is ready to drink. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,48,Cuvée de Réserve Brut,Champagne Blend,Champagne,,Champagne,France,D. Massin
88,Dante Robere 2015 Petite Sirah (Livermore Valley),"Strong woody aromas like cedar, oak and wood smoke are carried through in the flavors of this big and firmly tannic wine. Oak and baking-spice notes dominate the taste while the full body fills the mouth and releases blueberry and blackberry on the finish. ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,40,,Petite Sirah,Livermore Valley,Central Coast,California,US,Dante Robere
88,Domaine de Bel Air 2017  Pouilly-Fumé,"A smoothly textured wine, this is soft and full of ripe white fruits. Its acidity and grassy character are controlled by the wine's richness. Balanced and finishing with crisp acidity, the wine is ready to drink. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,23,,Sauvignon Blanc,Pouilly-Fumé,,Loire Valley,France,Domaine de Bel Air
88,Domaine de la Pinsonnière NV Brut  (Vouvray),"This honey- and apple-flavored wine is deliciously fresh. With a hint of almonds as well as the fruit, it is perfumed and ready to drink. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,15,Brut,Chenin Blanc,Vouvray,,Loire Valley,France,Domaine de la Pinsonnière
88,Domaine du Vieux Bourg NV Jean-Marie et Noël Girard Sparkling (Crémant de Loire),"An attractive blend of Cabernet Franc and Chenin Blanc, this wine is fruity, with touches of almonds. It is perfumed, rounded and softly textured, showing flavors of ripe apples as well as crisper citrus. Drink now. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,25,Jean-Marie et Noël Girard,Sparkling Blend,Crémant de Loire,,Loire Valley,France,Domaine du Vieux Bourg
88,Domaine Gibault 2016 Emotion Red (Touraine),"This is a rich blend of Malbec (known locally as Cot) and Cabernet France. It has a dense, ripe black-fruit-flavored character that is concentrated and just maturing. A touch of spice goes with the blackberry flavors that finish with good acidity. Drink now. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,14,Emotion,Bordeaux-style Red Blend,Touraine,,Loire Valley,France,Domaine Gibault
88,Domaine Paul Thomas 2017 Chavignol Rosé (Sancerre),"Ripe red fruits are cut with acidity smoothed by a touch of caramel in this balanced wine. It is fresh while also rich, taut and fruity. Drink now. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,24,Chavignol,Rosé,Sancerre,,Loire Valley,France,Domaine Paul Thomas
88,Domaine Philippe Raimbault 2017 Les Godons  (Sancerre),"This bottling shows a full, fat style of Sauvignon Blanc, although the wine hasn't lost all its freshness and has kept some citrus flavors. Its richness reflects the warm vintage, ripe and full in the mouth. Drink from 2019. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,28,Les Godons,Sauvignon Blanc,Sancerre,,Loire Valley,France,Domaine Philippe Raimbault
88,Draxton 2014 Pinot Noir (Russian River Valley),Polished and generous tannins wrap around elusive fruit and more up-front notions of clove and forest in this older vintage wine. Underlying succulence saves it from tasting too broadly flat or undefined. ,Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,32,,Pinot Noir,Russian River Valley,Sonoma,California,US,Draxton
88,Draxton 2017 Rosé of Pinot Meunier (Napa Valley),"Tasting like a cherry-orange Creamsicle, this wine from an unusual variety is pleasing in freshness and lighthearted body weight, an easygoing quaff that many will enjoy. ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,18,Rosé of,Pinot Meunier,Napa Valley,Napa,California,US,Draxton
88,Enrico Serafino 2015  Barbaresco,"Subdued aromas of dark fruit, coconut and baking spice slowly emerge from the glass. The firm palate delivers black plum, mocha and vanilla alongside close-grained tannins. Drink after 2020. ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,36,,Nebbiolo,Barbaresco,,Piedmont,Italy,Enrico Serafino
88,Flanagan 2014 The Beauty of Three Red (Bennett Valley),"A proprietary blending of 80% Cabernet Sauvignon with 15% Syrah and 5% Merlot, this is a big-boned, considerably ripe expression of blackberry, black currant and soy with a soft rounded structure and finish of cocoa powder. ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,54,The Beauty of Three,Red Blends,Bennett Valley,Sonoma,California,US,Flanagan
88,Fournier Père et Fils 2017 Les Deux Cailloux  (Pouilly-Fumé),"There are plenty of cailloux (stones) in Pouilly Fumé and this wine shows the steel and minerality that results from this soil. Very crisp while also with a richer element, this wine needs to age further. Drink from 2019. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,27,Les Deux Cailloux,Sauvignon Blanc,Pouilly-Fumé,,Loire Valley,France,Fournier Père et Fils
91,Tenuta di Fessina 2017 Erse Rosato (Etna),"Grilled herb, Mediterranean scrub, brimstone and wild berry aromas march to the forefront. Fresh and savory, the medium-bodied palate offers wild raspberry, crushed strawberry, white pepper and dried aromatic herb set against tangy acidity. ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,25,Erse,Rosato,Etna,,Sicily & Sardinia,Italy,Tenuta di Fessina
91,The Eyrie Vineyards 2016 Pinot Meunier (Dundee Hills),"Most often found in sparkling wines, here the grape is given a chance to show its stuff as a full-blown still red. It's tart and chewy, with chunky fruit flavors of cranberry and cherry. More tannic and darker than its cousin Pinot Noir, this finishes with citrusy acidity. ",Paul Gregutt,@paulgwine,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Paul_Greggutt_300x450.jpg,60,,Pinot Meunier,Dundee Hills,Willamette Valley,Oregon,US,The Eyrie Vineyards
91,Trisaetum 2016 Coast Range Estate Pinot Noir (Yamhill-Carlton),"From a cool site set on sedimentary and volcanic soils, this sets a sleek, supple tone throughout the palate. It deftly mixes in strata of earth and herb under black cherry fruit. Tannins are polished and firm. It's drinking well already, but seems likely to improve further with additional bottle aging. ",Paul Gregutt,@paulgwine,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Paul_Greggutt_300x450.jpg,49,Coast Range Estate,Pinot Noir,Yamhill-Carlton,Willamette Valley,Oregon,US,Trisaetum
91,Via Romano 2015 Barbera (El Dorado County),"This is a really well-made, flavorful and nicely balanced wine from a new winery that's doing exciting things. It's full bodied, moderately tannic and moderately acidic which is typical of the varietal, but backed by wonderful ripe black-cherry, black-olive and black-pepper flavors. ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,30,,Barbera,El Dorado County,Sierra Foothills,California,US,Via Romano
91,Wolff 2017 Rosé (Central Coast),"A pale shade of pink in the glass, this Grenache-based rosé is excellent, starting with soft aromas of bubblegum and pink lemonade. The palate is zesty, fresh and framed by persistent acid, with tangy raspberry, plum-skin and tight pomegranate flavors captured in a taut texture. ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,22,,Rosé,Central Coast,Central Coast,California,US,Wolff
91,Pfeffingen 2016 Dry Scheurebe (Pfalz),"While mineral driven on first whiff, aeration reveals increasingly fragrant aromas of white blossom, pineapple and grapefruit in this wine. It's dry and intensely zesty on the palate, marked by a tropical lychee note and a refreshing herbal undertone. A light-bodied, invigorating sip to enjoy now–2023. ",Anna Lee C. Iijima,@annaleeiijima,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2015/10/Anna_Lee_Iijima_Bio_300x450.jpg,23,Dry,Scheurebe,,,Pfalz,Germany,Pfeffingen
91,Calcaneus 2017 Romice delle Sciare Nerello Mascalese (Etna),"Don't let the light salmon color fool you: This savory rosato is chock-full of flavor and brightness, opening with aromas of grilled herb, wildflower, red berry and a whiff of sea breeze. On the tangy palate, juicy acidity accompanies ripe cherry, tangerine zest, strawberry and graphite along with a hint of bread dough. White pepper and a salty note linger on the finish. ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,24,Romice delle Sciare,Nerello Mascalese,Etna,,Sicily & Sardinia,Italy,Calcaneus
91,Ampelos 2015 Ampelos Vineyard Syrache Syrah-Grenache (Sta. Rita Hills),"This blends 70% Syrah and 30% Grenache from the estate site. The wine is bright and fresh on the nose, a whiff of peppery meat and earthy leather arriving first. The midplate takes on more ripe concentration in brambly blackberry and strawberry. ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,28,Ampelos Vineyard Syrache,Syrah-Grenache,Sta. Rita Hills,Central Coast,California,US,Ampelos
91,Beacon Hill 2016 La Sierra Vineyard Pinot Noir (Dundee Hills),"This supple, sexy wine is ready, set, go for immediate enjoyment. Pretty cherry and chocolate flavors round out the middle, with sweet spices all the way through a most pleasurable finish. All Pommard clone, it was aged 18 months in 30% new French oak. ",Paul Gregutt,@paulgwine,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Paul_Greggutt_300x450.jpg,45,La Sierra Vineyard,Pinot Noir,Dundee Hills,Willamette Valley,Oregon,US,Beacon Hill
91,Belden Barns 2016 Serendipity Block Pinot Noir (Sonoma Mountain),"From what the producer considers its best pocket of vineyard, planted to multiple clones, this is a beautifully expressive wine, well-integrated and delicately layered, with a flowing, silky texture. The flavors delve into raspberry, strawberry and black tea, humming along to an earthy finish. ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,48,Serendipity Block,Pinot Noir,Sonoma Mountain,Sonoma,California,US,Belden Barns
91,Ben Haines 2016 B Minor Pinot Noir (Yarra Valley),"This is a light-bodied, delicate Pinot Noir, with bright aromas of crunchy cherry fruit, black pepper and game. These tones carry to the palate are are woven together by dusty tannins and poised acidity. ",Christina Pickard,@ckpickard,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Christina_Pickard_300x450.jpg,24,B Minor,Pinot Noir,Yarra Valley,,Victoria,Australia,Ben Haines
91,Bergström 2016 Gregory Ranch Pinot Noir (Yamhill-Carlton),"Think cherry pie fruit with a touch of pastry crust and you've got a handle on this tasty wine. The acids add citrus highlights, principally pineapple, and the tannins have a hint of green tea astringency. ",Paul Gregutt,@paulgwine,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Paul_Greggutt_300x450.jpg,65,Gregory Ranch,Pinot Noir,Yamhill-Carlton,Willamette Valley,Oregon,US,Bergström
91,Bernardus 2016 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),"Ripe but sour cherry aromas meet with purple flowers, hibiscus, subtle chaparral and a hint of juniper on the nose of this bottling. It's energetic on the palate, with earthy clay flavors playing against the background of rhubarb, red plums and orange rinds. ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,85,Garys' Vineyard,Pinot Noir,Santa Lucia Highlands,Central Coast,California,US,Bernardus
91,Bischöfliche Weingüter Trier 2017 Kanzemer Altenberg Kabinett Riesling (Mosel),"Subtle, savory hints of saffron and crushed mineral on the nose belie the bolder tones of pink grapefruit and lime that await on the palate of this semidry Riesling. It's fresh and fruity yet has elegance and restraint. The finish is moderately long and earthy. ",Anna Lee C. Iijima,@annaleeiijima,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2015/10/Anna_Lee_Iijima_Bio_300x450.jpg,25,Kanzemer Altenberg Kabinett,Riesling,,,Mosel,Germany,Bischöfliche Weingüter Trier
91,Bodegas Bilbainas 2013 Viña Pomal Reserva  (Rioja),"Cinnamon, clove and oak-spice aromas frame notes of berries and citrus peels on the nose. A full palate feels a touch oily and creamy, while this tastes of savory, lightly salted plum and berry fruits. The saltiness carries over to a well-formed finish. Drink through 2025. ",Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,25,Viña Pomal Reserva,Tempranillo,Rioja,,Northern Spain,Spain,Bodegas Bilbainas
91,Bodegas Faustino 2006 Faustino I Gran Reserva  (Rioja),"Smooth, welcoming aromas of cola, black fruits and integrated oak are soft and indicate that this is ready to drink. A plump, sappy palate delivers ripe berry and chocolate flavors, while this is fleshy on a finish weighted down by berry pulp. Drink through 2021. ",Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,38,Faustino I Gran Reserva,Tempranillo,Rioja,,Northern Spain,Spain,Bodegas Faustino
91,Bodegas Valdemar 2011 Conde Valdemar Reserva  (Rioja),"Baked blackberry and cassis aromas are ripe to the max and come with plenty of oak-driven vanilla. On the palate, this is plump but honest, with depth and give. Baked berry flavors are enriched by oaky vanilla and coffee notes, while this is smooth and steady on the finish. Drink through 2024. ",Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,26,Conde Valdemar Reserva,Tempranillo Blend,Rioja,,Northern Spain,Spain,Bodegas Valdemar
91,Bouchaine 2016 Hyde Vineyard Chardonnay (Carneros),"With a touch of spice from well-integrated oak, this is a fresh and fruity white from a remarkable vineyard site, one of the best in the appellation. It shows balance within a context of undeniable ripeness and grip, the flavor defined in baked apple, almond and cinnamon. ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,70,Hyde Vineyard,Chardonnay,Carneros,Napa-Sonoma,California,US,Bouchaine
91,Buehler 2015 Zinfandel (Napa Valley),"This is a great value for a wine of such quality, made with a handful of Petite Sirah that grows in the same field-blended site. Layered and grippy, it shows structured blackberry and mocha flavors around secondary tones of leather and earth. ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,25,,Zinfandel,Napa Valley,Napa,California,US,Buehler
91,Covila 2013 II Reserva  (Rioja),Cool earth and horsey aromas are part of a nose that also contains quality berry and plum notes. A healthy palate with form and finesse generates flavors of smoky berry and chocolaty oak. Oak spice and residual acidic energy push this to its finale. Drink through 2023. ,Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,21,II Reserva,Red Blends,Rioja,,Northern Spain,Spain,Covila
86,Montaudon NV Grande Rosé Brut  (Champagne),"Warm and soft, this ripe wine has mature fruitiness that shines through gentle texture. With a relatively high dosage, it is an easy wine to enjoy as an aperitif. Drink now. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,45,Grande Rosé Brut,Champagne Blend,Champagne,,Champagne,France,Montaudon
86,Paul Buisse NV Brut Sparkling (Crémant de Loire),"A crisp blend of four grapes, this lively wine is dry, full of citrus flavors with a bright, clean aftertaste. The wine, just hinting at toast as well as riper yellow fruits, is ready to drink. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,15,Brut,Sparkling Blend,Crémant de Loire,,Loire Valley,France,Paul Buisse
86,Paumanok 2017 Dry Chenin Blanc (North Fork of Long Island),"Restrained aromas of citrus, apple peel and limestone carry to the immensely zesty palate. Electric acidity carries from start to finish, ending on a sour lime note. ",Alexander Peartree,@apatrone23,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Alex_Peartree_300x450.jpg,28,Dry,Chenin Blanc,North Fork of Long Island,Long Island,New York,US,Paumanok
86,Poderi Elia 2014 Serracapelli  (Barbaresco),"This opens with aromas of espresso, coconut and vanilla. The assertive palate offers roasted coffee bean, clove and chewing tobacco set against grainy, astringent tannins. Drink after 2022. ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,40,Serracapelli,Nebbiolo,Barbaresco,,Piedmont,Italy,Poderi Elia
86,Rafael Cambra 2016 Mateo Cambra  (Rioja),"Medicinal, rubbery berry aromas require airing to settle. In the mouth, this Rioja Garnacha is plump and round but with only medium-level concentration. A rubbery flavor is attached to plum and berry notes, while this is standard on the finish. ",Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,25,Mateo Cambra,Garnacha,Rioja,,Northern Spain,Spain,Rafael Cambra
86,Roberto Sarotto 2015 Currà  (Barbaresco),"This opens with subdued aromas of ripe dark fruit, coconut and baking spice. The dense palate offers prune, espresso and star anise alongside close-grained, rather evolved tannins. You can feel the heat of evident alcohol on the finish. ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,47,Currà,Nebbiolo,Barbaresco,,Piedmont,Italy,Roberto Sarotto
86,Shingleback NV Black Bubbles Sparkling Shiraz (McLaren Vale),"After a fair amount of swirling in glass, this offers notes of plums, ripe berries and pepper spice set against an earthy backdrop. It's lightly fizzy and slightly sweetness, but is accompanied by robust, drying tannins. The fizz dissipates quickly, leaving the wine feeling flat. ",Christina Pickard,@ckpickard,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Christina_Pickard_300x450.jpg,26,Black Bubbles Sparkling,Shiraz,McLaren Vale,,South Australia,Australia,Shingleback
86,Spicy Vines 2015 Edge Red (Dry Creek Valley),"This is an old field blend of Zinfandel, Petite Sirah, Carignan, Cinsault and Grenache, cofermented together and aged nearly two years in French oak, a small percentage of it new. The wine is thick in muddled red fruit and possessed of a soft rich texture. ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,42,Edge,Red Blends,Dry Creek Valley,Sonoma,California,US,Spicy Vines
86,Winery by the Creek 2015 Le Grand Vin Red (Fair Play),"Big, oaky and already well aged, this full-bodied wine has plenty of structure filled in with spicy cedary aromas and vanilla and black-cherry flavors. Firm tannins give it a hefty mouthfeel. ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,70,Le Grand Vin,Red Blends,Fair Play,Sierra Foothills,California,US,Winery by the Creek
85,Bianchi 2015 Merlot (Paso Robles),"Quite shy on the nose, this bottling offers dark red fruit and sandalwood with patience. The palate is a bit flat, with basic red-fruit and wild herb flavors. ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,17,,Merlot,Paso Robles,Central Coast,California,US,Bianchi
85,Bodegas Bleda 2017 Castillo de Jumilla Monastrell (Jumilla),"Scratchy, oaky aromas of pencil eraser, wood grain, vanilla and raspberry lead to a dense thick chewy palate. Herbal, salty plum and berry flavors finish tannic, grabby and sticky. ",Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,10,Castillo de Jumilla,Monastrell,Jumilla,,Levante,Spain,Bodegas Bleda
85,Cortes de Cima 2017 Chaminé Rosé (Alentejano),"A fresh and crisp wine that has plenty of acidity and attractive red-currant fruits. It is a light and bright blend of Aragonez and Syrah, ready to drink now. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,13,Chaminé,Rosé,,,Alentejano,Portugal,Cortes de Cima
85,Domaine Fouassier 2015  Sancerre,This bottling has a bitter edge from the toasty wood that masks the red-cherry fruits and gives the wine a strongly spicy character. Drink now. ,Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,,,Pinot Noir,Sancerre,,Loire Valley,France,Domaine Fouassier
85,Landshut 2017 Pinot Grigio (Pfalz),"Hints of yellow apple and pear are marked by savory, earthen tones in this light-bodied Pinot Grigio. It's moderate in concentration but offers fresh acidity and a dry, easygoing palate. ",Anna Lee C. Iijima,@annaleeiijima,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2015/10/Anna_Lee_Iijima_Bio_300x450.jpg,5,,Pinot Grigio,,,Pfalz,Germany,Landshut
85,Les Frères Couillaud 2017 Bernier Chardonnay Chardonnay (Val de Loire),"This soft wine offers simple apple and apricot flavors. Everything is in balance to give a gentle, smooth wine that is ready to drink. ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,14,Bernier Chardonnay,Chardonnay,Val de Loire,,Loire Valley,France,Les Frères Couillaud
85,MAN Family Wines NV Brut Chenin Blanc (South Africa),"This is pleasant and easy-drinking, with notes of fresh-cut apple, orange pith, lemon rind and a touch of talc. It's light in weight, with brisk acidity, high carbonation and tart lime, green apple and plum notes that are short but refreshing. ",Lauren Buzzeo,@laurbuzz,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Lauren_Buzzeo_300x450.jpg,16,Brut,Chenin Blanc,,,South Africa,South Africa,MAN Family Wines
